Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Url
,AmazonBasics Hardside Spinner Luggage Black,49.99,2-piece set (20"/28"); 20-inch; 24-inch; 24-inch (carbon black); 28-inch; 3-piece set (20"/24"/28"),433 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14 x 9.4 x 22 inches; Shipping Weight:  9.95 pounds (View shipping rates and policies); ASIN:  B071VG5N9D; ; California residents:  Click here for Proposition 65 warning; Item model number:  N989; Date first available at Amazon.com:  July 24 2017; Amazon Best Sellers Rank:  #383 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 433 customer reviews,5 star (74%),4 star (13%),3 star (5%),2 star (2%),1 star (6%),https://www.amazon.com/AmazonBasics-Hardside-Spinner-Luggage-Carry/dp/B071VG5N9D/ref=lp_15743251_1_1
,Rockland Melbourne 20-Inch Expandable Abs Carry On Luggage,36.49,Black; Blue; 2Toneblue; 2Tonegreen; 2Tonenavy; Blackwave; Blue 2 Tone; Bronze; Brown; Carbon; Champagne; Charcoal; Fiber; Goldwave; Green; Green 2 Tone; Grey; Lime; Magenta; Metallic; Mint; Mint Green; Navy; Orange; Orange/Navy 2 Tone; Pink; Purple; Quilt; Red; Silver; Silverwave; Sterling; Turquoise,2015 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  13 x 10 x 20 inches; Shipping Weight:  7.8 pounds (View shipping rates and policies); ASIN:  B00BW95X46; ; Item model number:  F145-CHAMPAGNE; Date first available at Amazon.com:  March 18 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #457 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 2015 customer reviews,5 star (61%),4 star (18%),3 star (7%),2 star (5%),1 star (9%),https://www.amazon.com/Rockland-Luggage-Melbourne-Expandable-Champagne/dp/B00BW95X46/ref=lp_15743251_1_2
,Samsonite Winfield 2 Hardside 28" Luggage,109.99,Brushed Anthracite; Burgundy; Charcoal; Deep Blue; Orange; Purple,833 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  12 x 19 x 28 inches; Shipping Weight:  14.25 pounds (View shipping rates and policies); ASIN:  B00T8L9LFC; ; Item model number:  56846-1717; Date first available at Amazon.com:  February 5 2015; Amazon Best Sellers Rank:  #1332 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 833 customer reviews,5 star (66%),4 star (16%),3 star (8%),2 star (3%),1 star (7%),https://www.amazon.com/Samsonite-Winfield-Hardside-Luggage-Purple/dp/B00T8L9LFC/ref=lp_15743251_1_3
,Rockland Luggage 2 Piece Set,28.55,Black; Blue; Black Dot; Black/Gray; Blackcross; Blue Leopard; Bluedot; Brown; Camouflage; Charcoal; Chevron; Giraffee; Gray w/ Black; Green Camo; Hearts (New); Lime Zebra; Magenta Leopard; Mulpink Dots; Navy; New Black Dot; Orange; Owl; Peace; Pink; Pink Bandana; Pink Dot; Pink Giraffe; Pink Leopard; Pinkcross; Pinkzebra; Plaid; Pucci; Purple; Purple Leopard; Purple Pearl; Red; Tribal; Turquoise; Zebra; Zebra/Pink,3853 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  8 x 13 x 19 inches; Shipping Weight:  7.75 pounds (View shipping rates and policies); ASIN:  B00K4F45CA; ; California residents:  Click here for Proposition 65 warning; Item model number:  F102; Date first available at Amazon.com:  May 12 2014; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #310 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 3853 customer reviews,5 star (56%),4 star (20%),3 star (10%),2 star (6%),1 star (8%),https://www.amazon.com/Rockland-Luggage-Piece-Set-Size/dp/B00K4F45CA/ref=lp_15743251_1_4
,Samsonite Winfield 2 Fashion Hardside 3 Piece Set,219.00,Brushed Anthracite; Burgundy; Charcoal; Deep Blue; Orange; Purple,523 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  28 x 19.8 x 12.5 inches; Shipping Weight:  30.1 pounds (View shipping rates and policies); ASIN:  B00EALLQ7Q; ; Item model number:  56847; Date first available at Amazon.com:  August 16 2013; Amazon Best Sellers Rank:  #2865 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets#4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 523 customer reviews,5 star (66%),4 star (14%),3 star (6%),2 star (6%),1 star (8%),https://www.amazon.com/Samsonite-Winfield-Hardside-Luggage-Charcoal/dp/B00EALLQ7Q/ref=lp_15743251_1_5
,Samsonite Omni PC Hardside 3 Piece Set 20 24 28 Spinner,286.27,Black; Burnt Orange; Caribbean Blue; Navy; Purple; Radiant Pink; Red; Silver; Teal,349 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  28.5 x 20.5 x 13.5 inches; Shipping Weight:  24 pounds (View shipping rates and policies); ASIN:  B0161EDSUC; ; Item model number:  68311; Date first available at Amazon.com:  August 14 2015; Amazon Best Sellers Rank:  #6250 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 349 customer reviews,5 star (76%),4 star (12%),3 star (4%),2 star (4%),1 star (4%),https://www.amazon.com/Samsonite-68311-1776-Hardside-Spinner-Silver/dp/B072L7YVSM/ref=lp_15743251_1_6
,Samsonite Omni PC Hardside 20-Inch Spinner,71.29,Black; Bronze; Burnt Orange; Caribbean Blue; Platinum; Purple; Radiant Pink; Red; Silver; Teal,421 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  19 x 14.5 x 9.8 inches; Shipping Weight:  7.6 pounds (View shipping rates and policies); ASIN:  B013WFNNZI; ; Item model number:  68308-1041; Date first available at Amazon.com:  August 13 2015; Amazon Best Sellers Rank:  #1883 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 421 customer reviews,5 star (69%),4 star (16%),3 star (7%),2 star (3%),1 star (5%),https://www.amazon.com/Samsonite-Omni-Hardside-20-Inch-Spinner/dp/B013WFNNZI/ref=lp_15743251_1_7
,AmazonBasics Softside Spinner Luggage,43.25,18-inch; 2-piece set (21"/29"); 21-inch; 25-inch; 29-inch; 3-piece set (21"/25"/29"); Navy Blue; Black,217 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14.6 x 9.4 x 21 inches; Shipping Weight:  8.45 pounds (View shipping rates and policies); ASIN:  B071VLCH81; ; California residents:  Click here for Proposition 65 warning; Item model number:  N802; Date first available at Amazon.com:  September 1 2017; Amazon Best Sellers Rank:  #1471 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 217 customer reviews,5 star (64%),4 star (20%),3 star (7%),2 star (6%),1 star (3%),https://www.amazon.com/AmazonBasics-Softside-Spinner-Luggage-Carry/dp/B071VLCH81/ref=lp_15743251_1_8
,Kenneth Cole Reaction Out of Bounds 20" 4 Wheel Upright,49.99,Charcoal; Cobalt Blue; Lt Silver; Navy; Pink; Purple; Red; Reg Cobalt; Rose Gold - eBags Exclusive; Teal- eBags Exclusive,1028 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14.5 x 8.5 x 21.8 inches; Shipping Weight:  7.95 pounds (View shipping rates and policies); Shipping Advisory:  This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN:  B004TNOAXW; ; Item model number:  5705048; Date first available at Amazon.com:  March 24 2011; ; Domestic Shipping:  Currently item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments please check with the manufacturer regarding warranty and support issues.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1131 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 1028 customer reviews,5 star (67%),4 star (17%),3 star (6%),2 star (4%),1 star (6%),https://www.amazon.com/Kenneth-Cole-Reaction-Upright-Charcoal/dp/B004TNOAXW/ref=lp_15743251_1_9
,American Tourister Luggage Fieldbrook II 3 Piece Set,49.99,Black; Purple/Grey; Red/Black,1203 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  24.5 x 16 x 8 inches; Shipping Weight:  18 pounds (View shipping rates and policies); ASIN:  B00DVIF9JA; ; Item model number:  56445; Date first available at Amazon.com:  October 15 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1593 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 1203 customer reviews,5 star (55%),4 star (20%),3 star (8%),2 star (7%),1 star (10%),https://www.amazon.com/American-Tourister-Luggage-Fieldbrook-Purple/dp/B00DVIF9JA/ref=lp_15743251_1_10
,Travelpro Crew 11 21" Expandable Spinner Carry-on Suiter Suitcase,229.99,Black; Indigo; Mahogany Brown; Patriot Blue,90 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  21 x 14 x 9 inches; Shipping Weight:  10.2 pounds (View shipping rates and policies); ASIN:  B01HD1ZYKE; ; Item model number:  407166101; Date first available at Amazon.com:  June 27 2016; Amazon Best Sellers Rank:  #4535 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#9 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #9 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 90 customer reviews,5 star (72%),4 star (9%),3 star (9%),2 star (8%),1 star (2%),https://www.amazon.com/Travelpro-Expandable-Spinner-Carry-Suitcase/dp/B01HD1ZYKE/ref=lp_15743251_1_11
